,laptop_ID,Company,Product,TypeName,Inches,Screen Resolution,X_res,Y_res,Full HD,Quad HD+,4K Ultra HD,IPS,Touch Screen,CPU Name,CPU Freq (GHz),RAM (GB),HDD,SSD,Flash Storage,GPU,OS,Weight (kg),Price_euros
0,1,Apple,MacBook Pro,Ultrabook,13.3,2560x1600,2560,1600,0,1,0,1,0,Intel Core i5,2.3,8,0,128,0,Intel Iris,Mac,1.37,1339.6900000000003
1,2,Apple,Macbook Air,Ultrabook,13.3,1440x900,1440,900,1,0,0,0,0,Intel Core i5,1.8,8,0,0,128,Intel HD Graphics,Mac,1.34,898.9399999999997
2,3,HP,250 G6,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,No OS,1.86,575.0000000000001
3,4,Apple,MacBook Pro,Ultrabook,15.4,2880x1800,2880,1800,0,0,1,1,0,Intel Core i7,2.7,16,0,512,0,AMD Radeon,Mac,1.83,2537.4499999999994
4,5,Apple,MacBook Pro,Ultrabook,13.3,2560x1600,2560,1600,0,1,0,1,0,Intel Core i5,3.1,8,0,256,0,Intel Iris,Mac,1.37,1803.6000000000006
5,6,Acer,Aspire 3,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD A-Series,3.0,4,500,0,0,AMD Radeon,Windows 10,2.1,399.9999999999999
6,7,Apple,MacBook Pro,Ultrabook,15.4,2880x1800,2880,1800,0,0,1,1,0,Intel Core i7,2.2,16,0,0,256,Intel Iris,Mac X,2.04,2139.97
7,8,Apple,Macbook Air,Ultrabook,13.3,1440x900,1440,900,1,0,0,0,0,Intel Core i5,1.8,8,0,0,256,Intel HD Graphics,Mac,1.34,1158.6999999999996
8,9,Asus,ZenBook UX430UN,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,16,0,512,0,Nvidia GeForce MX,Windows 10,1.3,1494.9999999999995
9,10,Acer,Swift 3,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.6,769.9999999999997
